name;zipcode;type
Cagnoncles;59161;commune
Cambrai;59400;commune
Camphin-en-Carembault;59133;commune
Camphin-en-Pévèle;59780;commune
Cantaing-sur-Escaut;59267;commune
Cantin;59169;commune
Capelle;59213;commune
Capinghem;59160;commune
Cappelle-Brouck;59630;commune
Cappelle-en-Pévèle;59242;commune
Cappelle-la-Grande;59180;commune
Carnières;59217;commune
Carnin;59112;commune
Cartignies;59244;commune
Cassel;59670;commune
Le Cateau-Cambrésis;59360;commune
Catillon-sur-Sambre;59360;commune
Cattenières;59217;commune
Caudry;59540;commune
Caullery;59191;commune
Cauroir;59400;commune
Cerfontaine;59680;commune
La Chapelle-d'Armentières;59930;commune
Château-l'Abbaye;59230;commune
Chemy;59147;commune
Chéreng;59152;commune
Choisies;59740;commune
Clairfayts;59740;commune
Clary;59225;commune
Cobrieux;59830;commune
Colleret;59680;commune
Comines;59560;commune
Condé-sur-l'Escaut;59163;commune
Coudekerque-Branche;59210;commune
