cp;nom;distance;P01-02;P03-04;P05-P06;P07-08;P09-12;P13-16;P17-31;P32-54
8240;Oches;130;229;239;249;259;458;503;629;715
8250;Olizy-Primat;100;173;183;193;203;345;380;494;569
8450;Omicourt;165;294;304;314;324;589;648;787;885
8430;Omont;150;266;276;286;296;533;586;719;812
8110;Osnes;185;332;342;352;362;664;730;877;983
8310;Pauvres;105;182;192;202;212;364;400;517;593
8300;Perthes;100;173;183;193;203;345;380;494;569
8190;Poilcourt-Sydney;95;163;173;183;193;326;359;472;544
8430;Poix-Terron;135;238;248;258;268;476;524;652;739
8140;Pouru-aux-Bois;180;323;333;343;353;645;710;854;959
8140;Pouru-Saint-Remy;175;313;323;333;343;626;689;832;934
8290;Prez;150;266;276;286;296;533;586;719;812
8000;Prix-lès-Mézières;150;266;276;286;296;533;586;719;812
8370;Puilly-et-Charbeaux;195;351;361;371;381;701;771;922;1032
8270;Puiseux;130;229;239;249;259;458;503;629;715
8110;Pure;185;332;342;352;362;664;730;877;983
8400;Quatre-Champs;110;191;201;211;221;383;421;539;617
8400;Quilly;100;173;183;193;203;345;380;494;569
8430;Raillicourt;135;238;248;258;268;476;524;652;739
8600;Rancennes;210;379;389;399;409;758;833;989;1105
8450;Raucourt-et-Flaba;175;313;323;333;343;626;689;832;934
8230;Regniowez;170;304;314;324;334;608;668;809;910
8220;Remaucourt;125;219;229;239;249;439;483;607;690
8450;Remilly-Aillicourt;170;304;314;324;334;608;668;809;910
8150;Remilly-les-Pothées;150;266;276;286;296;533;586;719;812
8220;Renneville;135;238;248;258;268;476;524;652;739
8150;Renwez;165;294;304;314;324;589;648;787;885
8300;Rethel;105;182;192;202;212;364;400;517;593
8500;Revin;175;313;323;333;343;626;689;832;934
8130;Rilly-sur-Aisne;115;201;211;221;231;401;441;562;642
8150;Rimogne;170;304;314;324;334;608;668;809;910
8220;Rocquigny;135;238;248;258;268;476;524;652;739
8230;Rocroi;160;285;295;305;315;570;627;764;861
8190;Roizy;95;163;173;183;193;326;359;472;544
8150;Rouvroy-sur-Audry;145;257;267;277;287;514;565;697;788
8220;Rubigny;135;238;248;258;268;476;524;652;739
8140;Rubécourt-et-Lamécourt;175;313;323;333;343;626;689;832;934
8290;Rumigny;250;454;464;474;484;908;998;1169;1300
8110;Sachy;180;323;333;343;353;645;710;854;959
8110;Sailly;190;341;351;361;371;683;751;899;1007
8350;Saint-Aignan;170;304;314;324;334;608;668;809;910
8310;Saint-Clément-à-Arnes;90;154;164;174;184;308;338;449;520
8360;Saint-Fergeux;115;201;211;221;231;401;441;562;642
8190;Saint-Germainmont;110;191;201;211;221;383;421;539;617
8220;Saint-Jean-aux-Bois;140;248;258;268;278;495;545;674;764
8250;Saint-Juvin;115;201;211;221;231;401;441;562;642
8130;Saint-Lambert-et-Mont-de-Jeux;110;191;201;211;221;383;421;539;617
8090;Saint-Laurent;160;285;295;305;315;570;627;764;861
8300;Saint-Loup-en-Champagne;100;173;183;193;203;345;380;494;569
8130;Saint-Loup-Terrier;145;257;267;277;287;514;565;697;788
8160;Saint-Marceau;145;257;267;277;287;514;565;697;788
8460;Saint-Marcel;150;266;276;286;296;533;586;719;812
8200;Saint-Menges;165;294;304;314;324;589;648;787;885
8400;Saint-Morel;100;173;183;193;203;345;380;494;569
8430;Saint-Pierre-sur-Vence;140;248;258;268;278;495;545;674;764
8310;Saint-Pierre-à-Arnes;95;163;173;183;193;326;359;472;544
8240;Saint-Pierremont;130;229;239;249;259;458;503;629;715
8220;Saint-Quentin-le-Petit;120;210;220;230;240;420;462;584;666
8300;Saint-Remy-le-Petit;95;163;173;183;193;326;359;472;544
8310;Saint-Étienne-à-Arnes;90;154;164;174;184;308;338;449;520
8400;Sainte-Marie;100;173;183;193;203;345;380;494;569
8130;Sainte-Vaubourg;105;182;192;202;212;364;400;517;593
8160;Sapogne-et-Feuchères;155;276;286;296;306;551;606;742;837
8370;Sapogne-sur-Marche;200;360;370;380;390;720;792;944;1056
8130;Saulces-Champenoises;200;360;370;380;390;720;792;944;1056
8270;Saulces-Monclin;124;218;228;238;248;435;479;602;686
8300;Sault-lès-Rethel;105;182;192;202;212;364;400;517;593
8190;Sault-Saint-Remy;95;163;173;183;193;326;359;472;544
8390;Sauville;155;276;286;296;306;551;606;742;837
8400;Savigny-sur-Aisne;100;173;183;193;203;345;380;494;569
8200;Sedan;162;289;299;309;319;578;635;773;871
8400;Semide;90;154;164;174;184;308;338;449;520
8130;Semuy;115;201;211;221;231;401;441;562;642
8250;Senuc;105;182;192;202;212;364;400;517;593
8220;Seraincourt;125;219;229;239;249;439;483;607;690
8270;Sery;115;201;211;221;231;401;441;562;642
8300;Seuil;115;201;211;221;231;401;441;562;642
8460;Signy-l'Abbaye;130;229;239;249;259;458;503;629;715
8380;Signy-le-Petit;160;285;295;305;315;570;627;764;861
8370;Signy-Montlibert;200;360;370;380;390;720;792;944;1056
8430;Singly;140;248;258;268;278;495;545;674;764
8240;Sommauthe;130;229;239;249;259;458;503;629;715
8250;Sommerance;135;238;248;258;268;476;524;652;739
8300;Son;120;210;220;230;240;420;462;584;666
8300;Sorbon;110;191;201;211;221;383;421;539;617
8270;Sorcy-Bauthémont;125;219;229;239;249;439;483;607;690
8150;Sormonne;165;294;304;314;324;589;648;787;885
8390;Stonne;135;238;248;258;268;476;524;652;739
8400;Sugny;100;173;183;193;203;345;380;494;569
8090;Sury;160;285;295;305;315;570;627;764;861
8130;Suzanne;115;201;211;221;231;401;441;562;642
8390;Sy;130;229;239;249;259;458;503;629;715
8250;Séchault;95;163;173;183;193;326;359;472;544
8150;Sécheval;165;294;304;314;324;589;648;787;885
8230;Sévigny-la-Forêt;160;285;295;305;315;570;627;764;861
8220;Sévigny-Waleppe;125;219;229;239;249;439;483;607;690
8300;Tagnon;95;163;173;183;193;326;359;472;544
8230;Taillette;165;294;304;314;324;589;648;787;885
8240;Tailly;130;229;239;249;259;458;503;629;715
8360;Taizy;110;191;201;211;221;383;421;539;617
8390;Tannay;125;219;229;239;249;439;483;607;690
8380;Tarzy;160;285;295;305;315;570;627;764;861
8250;Termes;105;182;192;202;212;364;400;517;593
8400;Terron-sur-Aisne;110;191;201;211;221;383;421;539;617
8350;Thelonne;170;304;314;324;334;608;668;809;910
8800;Thilay;175;313;323;333;343;626;689;832;934
8460;Thin-le-Moutier;140;248;258;268;278;495;545;674;764
8090;This;150;266;276;286;296;533;586;719;812
8300;Thugny-Trugny;110;191;201;211;221;383;421;539;617
8240;Thénorgues;120;210;220;230;240;420;462;584;666
8400;Toges;110;191;201;211;221;383;421;539;617
8430;Touligny;140;248;258;268;278;495;545;674;764
8400;Tourcelles-Chaumont;100;173;183;193;203;345;380;494;569
8800;Tournavaux;175;313;323;333;343;626;689;832;934
8090;Tournes;160;285;295;305;315;570;627;764;861
8130;Tourteron;115;201;211;221;231;401;441;562;642
8110;Tremblois-lès-Carignan;195;351;361;371;381;701;771;922;1032
8150;Tremblois-lès-Rocroi;155;276;286;296;306;551;606;742;837
8110;Tétaigne;185;332;342;352;362;664;730;877;983
8400;Vandy;110;191;201;211;221;383;421;539;617
8130;Vaux-Champagne;105;182;192;202;212;364;400;517;593
8240;Vaux-en-Dieulet;130;229;239;249;259;458;503;629;715
8250;Vaux-lès-Mouron;100;173;183;193;203;345;380;494;569
8210;Vaux-lès-Mouzon;185;332;342;352;362;664;730;877;983
8220;Vaux-lès-Rubigny;135;238;248;258;268;476;524;652;739
8270;Vaux-Montreuil;130;229;239;249;259;458;503;629;715
8150;Vaux-Villaine;145;257;267;277;287;514;565;697;788
8160;Vendresse;150;266;276;286;296;533;586;719;812
8240;Verpel;115;201;211;221;231;401;441;562;642
8390;Verrières;125;219;229;239;249;439;483;607;690
8270;Viel-Saint-Remy;130;229;239;249;259;458;503;629;715
8190;Vieux-lès-Asfeld;110;191;201;211;221;383;421;539;617
8440;Ville-sur-Lumes;155;276;286;296;306;551;606;742;837
8310;Ville-sur-Retourne;100;173;183;193;203;345;380;494;569
8140;Villers-Cernay;175;313;323;333;343;626;689;832;934
8190;Villers-devant-le-Thour;115;201;211;221;231;401;441;562;642
8210;Villers-devant-Mouzon;175;313;323;333;343;626;689;832;934
8430;Villers-le-Tilleul;145;257;267;277;287;514;565;697;788
8430;Villers-le-Tourneur;130;229;239;249;259;458;503;629;715
8000;Villers-Semeuse;150;266;276;286;296;533;586;719;812
8350;Villers-sur-Bar;170;304;314;324;334;608;668;809;910
8430;Villers-sur-le-Mont;140;248;258;268;278;495;545;674;764
8370;Villy;190;341;351;361;371;683;751;899;1007
8320;Vireux-Molhain;190;341;351;361;371;683;751;899;1007
8320;Vireux-Wallerand;195;351;361;371;381;701;771;922;1032
8440;Vivier-au-Court;160;285;295;305;315;570;627;764;861
8400;Voncq;115;201;211;221;231;401;441;562;642
8400;Vouziers;105;182;192;202;212;364;400;517;593
8330;Vrigne-aux-Bois;160;285;295;305;315;570;627;764;861
8350;Vrigne-Meuse;160;285;295;305;315;570;627;764;861
8400;Vrizy;105;182;192;202;212;364;400;517;593
8200;Wadelincourt;165;294;304;314;324;589;648;787;885
8270;Wagnon;125;219;229;239;249;439;483;607;690
8000;Warcq;155;276;286;296;306;551;606;742;837
8090;Warnécourt;155;276;286;296;306;551;606;742;837
8270;Wasigny;125;219;229;239;249;439;483;607;690
8270;Wignicourt;135;238;248;258;268;476;524;652;739
8110;Williers;195;351;361;371;381;701;771;922;1032
8210;Yoncq;145;257;267;277;287;514;565;697;788
8430;Yvernaumont;140;248;258;268;278;495;545;674;764
8300;Ecly;115;201;211;221;231;401;441;562;642
8130;Ecordal;125;219;229;239;249;439;483;607;690
8160;Elan;150;266;276;286;296;533;586;719;812
8260;Etalle;155;276;286;296;306;551;606;742;837
8260;Eteignières;160;285;295;305;315;570;627;764;861
8160;Etrépigny;150;266;276;286;296;533;586;719;812
8090;Evigny;150;266;276;286;296;533;586;719;812
10200;Ailleville;105;182;192;202;212;364;400;517;593
10160;Aix-en-Othe;95;163;173;183;193;326;359;472;544
10700;Allibaudières;30;50;60;70;80;100;110;200;250
