cp;nom;distance;01-févr;03-avr;05-juin;07-août;09-déc;13-16;17-31;32-54
59138;Hargnies;185;369;384;394;409;738;849;966;1 080
59178;Hasnon;253;509;524;534;549;1 019;1 171;1 302;1 444
59198;Haspres;234;470;485;495;510;940;1 081;1 208;1 342
59320;Haubourdin;271;546;561;571;586;1 093;1 257;1 391;1 541
59191;Haucourt-en-Cambrésis;213;427;442;452;467;854;982;1 104;1 230
59121;Haulchin;235;472;487;497;512;944;1 086;1 213;1 348
59294;Haussy;240;483;498;508;523;965;1 110;1 238;1 375
59440;Haut-Lieu;192;384;399;409;424;767;882;1 000;1 117
59330;Hautmont;210;421;436;446;461;841;967;1 090;1 214
59255;Haveluy;238;478;493;503;518;957;1 100;1 228;1 364
59660;Haverskerque;284;573;588;598;613;1 147;1 318;1 456;1 610
59268;Haynecourt;217;435;450;460;475;870;1 001;1 124;1 251
59190;Hazebrouck;314;635;650;660;675;1 270;1 461;1 604;1 771
59530;Hecq;202;404;419;429;444;808;929;1 050;1 171
59171;Hélesmes;240;483;498;508;523;965;1 110;1 238;1 375
59510;Hem;280;565;580;590;605;1 130;1 300;1 436;1 589
59247;Hem-Lenglet;223;447;462;472;487;895;1 029;1 154;1 283
59199;Hergnies;266;536;551;561;576;1 072;1 233;1 367;1 514
59195;Hérin;241;485;500;510;525;969;1 114;1 243;1 380
59134;Herlies;274;553;568;578;593;1 105;1 271;1 406;1 557
59147;Herrin;263;530;545;555;570;1 060;1 219;1 352;1 498
59470;Herzeele;325;658;673;683;698;1 316;1 513;1 659;1 830
59740;Hestrud;204;408;423;433;448;817;939;1 060;1 181
59143;Holque;323;654;669;679;694;1 307;1 503;1 649;1 820
59190;Hondeghem;304;615;630;640;655;1 229;1 413;1 555;1 718
59122;Hondschoote;334;676;691;701;716;1 353;1 556;1 703;1 879
59570;Hon-Hergies;268;540;555;565;580;1 081;1 243;1 377;1 525
59980;Honnechy;192;384;399;409;424;767;882;1 000;1 117
59266;Honnecourt-sur-Escaut;205;410;425;435;450;821;944;1 065;1 187
59111;Hordain;225;452;467;477;492;903;1 039;1 164;1 294
59171;Hornaing;241;485;500;510;525;969;1 114;1 243;1 380
59570;Houdain-lez-Bavay;264;532;547;557;572;1 064;1 224;1 357;1 503
59263;Houplin-Ancoisne;267;538;553;563;578;1 076;1 238;1 372;1 519
59116;Houplines;291;588;603;613;628;1 175;1 352;1 490;1 648
59470;Houtkerque;323;654;669;679;694;1 307;1 503;1 649;1 820
59492;Hoymille;337;683;698;708;723;1 365;1 570;1 718;1 895
59480;Illies;272;549;564;574;589;1 097;1 262;1 396;1 546
59540;Inchy;199;398;413;423;438;796;915;1 035;1 155
59141;Iwuy;225;452;467;477;492;903;1 039;1 164;1 294
59144;Jenlain;252;507;522;532;547;1 015;1 167;1 297;1 439
59460;Jeumont;224;450;465;475;490;899;1 034;1 159;1 289
59530;Jolimetz;208;417;432;442;457;833;958;1 080;1 203
59122;Killem;334;676;691;701;716;1 353;1 556;1 703;1 879
59167;Lallaing;250;503;518;528;543;1 006;1 157;1 288;1 428
59130;Lambersart;279;563;578;588;603;1 126;1 295;1 431;1 584
59552;Lambres-lez-Douai;235;472;487;497;512;944;1 086;1 213;1 348
59310;Landas;261;526;541;551;566;1 052;1 209;1 342;1 487
59550;Landrecies;194;388;403;413;428;775;892;1 010;1 128
59390;Lannoy;284;573;588;598;613;1 147;1 318;1 456;1 610
59219;Larouillies;183;365;380;390;405;730;839;956;1 069
59553;Lauwin-Planque;254;511;526;536;551;1 023;1 176;1 307;1 450
59226;Lecelles;262;528;543;553;568;1 056;1 214;1 347;1 492
59259;Lécluse;224;450;465;475;490;899;1 034;1 159;1 289
59143;Lederzeele;324;656;671;681;696;1 312;1 508;1 654;1 825
59470;Ledringhem;314;635;650;660;675;1 270;1 461;1 604;1 771
59115;Leers;285;575;590;600;615;1 151;1 323;1 461;1 616
59495;Leffrinckoucke;357;724;739;749;764;1 448;1 665;1 817;2 002
59258;Lesdain;207;414;429;439;454;829;953;1 075;1 198
59810;Lesquin;268;540;555;565;580;1 081;1 243;1 377;1 525
59620;Leval;206;412;427;437;452;825;948;1 070;1 192
59287;Lewarde;233;468;483;493;508;936;1 077;1 203;1 337
59260;Lezennes;274;553;568;578;593;1 105;1 271;1 406;1 557
59740;Lez-Fontaine;206;412;427;437;452;825;948;1 070;1 192
59740;Liessies;192;384;399;409;424;767;882;1 000;1 117
59111;Lieu-Saint-Amand;228;458;473;483;498;916;1 053;1 179;1 310
59191;Ligny-en-Cambrésis;215;431;446;456;471;862;991;1 114;1 240
59000;Lille;274;544;559;569;584;1 089;1 252;1 387;1 535
59330;Limont-Fontaine;203;406;421;431;446;812;934;1 055;1 176
59126;Linselles;290;586;601;611;626;1 171;1 347;1 486;1 643
59530;Locquignol;207;414;429;439;454;829;953;1 075;1 198
59182;Loffre;234;470;485;495;510;940;1 081;1 208;1 342
59840;Lompret;288;582;597;607;622;1 163;1 337;1 476;1 632
59570;La Longueville;269;542;557;567;582;1 085;1 247;1 382;1 530
59630;Looberghe;332;672;687;697;712;1 345;1 546;1 693;1 868
59279;Loon-Plage;340;689;704;714;729;1 378;1 584;1 733;1 911
59120;Loos;276;557;572;582;597;1 114;1 281;1 416;1 568
59156;Lourches;233;468;483;493;508;936;1 077;1 203;1 337
59530;Louvignies-Quesnoy;206;412;427;437;452;825;948;1 070;1 192
59830;Louvil;276;557;572;582;597;1 114;1 281;1 416;1 568
59720;Louvroil;212;425;440;450;465;850;977;1 099;1 224
59173;Lynde;298;602;617;627;642;1 204;1 385;1 525;1 686
59390;Lys-lez-Lannoy;285;575;590;600;615;1 151;1 323;1 461;1 616
59110;La Madeleine;276;557;572;582;597;1 114;1 281;1 416;1 568
59233;Maing;240;483;498;508;523;965;1 110;1 238;1 375
59600;Mairieux;221;443;458;468;483;887;1 020;1 144;1 273
59134;Le Maisnil;280;565;580;590;605;1 130;1 300;1 436;1 589
59127;Malincourt;213;427;442;452;467;854;982;1 104;1 230
59440;Marbaix;205;410;425;435;450;821;944;1 065;1 187
59870;Marchiennes;249;501;516;526;541;1 002;1 152;1 283;1 423
59159;Marcoing;206;412;427;437;452;825;948;1 070;1 192
59700;Marcq-en-Barœul;278;561;576;586;601;1 122;1 290;1 426;1 578
59252;Marcq-en-Ostrevent;227;456;471;481;496;911;1 048;1 174;1 305
59990;Maresches;251;505;520;530;545;1 010;1 162;1 292;1 433
59238;Maretz;201;402;417;427;442;804;925;1 045;1 165
59770;Marly;245;493;508;518;533;986;1 133;1 263;1 401
59550;Maroilles;198;396;411;421;436;792;911;1 030;1 149
