CP;Commune;Distance;01-02;03-04;05-06;07-08;09-12;13-16 ;17-31 ;32-54
08250;Termes;105;204;219;229;244;408;469;570;651
08400;Terron-sur-Aisne;110;214;229;239;254;429;493;595;677
08350;Thelonne;170;338;353;363;378;676;778;892;999
08800;Thilay;175;348;363;373;388;697;801;916;1026
08460;Thin-le-Moutier;140;276;291;301;316;553;635;743;838
08090;This;150;297;312;322;337;594;683;793;892
08300;Thugny-Trugny;110;214;229;239;254;429;493;595;677
08240;Thénorgues;120;235;250;260;275;470;541;644;731
08400;Toges;110;214;229;239;254;429;493;595;677
08430;Touligny;140;276;291;301;316;553;635;743;838
08400;Tourcelles-Chaumont;100;194;209;219;234;388;446;545;624
08800;Tournavaux;175;348;363;373;388;697;801;916;1026
08090;Tournes;160;318;333;343;358;635;730;842;946
08130;Tourteron;115;225;240;250;265;449;517;619;704
08110;Tremblois-lès-Carignan;195;390;405;415;430;779;896;1015;1133
08150;Tremblois-lès-Rocroi;155;307;322;332;347;614;707;817;919
08110;Tétaigne;185;369;384;394;409;738;849;966;1080
08400;Vandy;110;214;229;239;254;429;493;595;677
08130;Vaux-Champagne;105;204;219;229;244;408;469;570;651
08240;Vaux-en-Dieulet;130;256;271;281;296;511;588;694;785
08250;Vaux-lès-Mouron;100;194;209;219;234;388;446;545;624
08210;Vaux-lès-Mouzon;185;369;384;394;409;738;849;966;1080
08220;Vaux-lès-Rubigny;135;266;281;291;306;532;612;718;811
08270;Vaux-Montreuil;130;256;271;281;296;511;588;694;785
08150;Vaux-Villaine;145;287;302;312;327;573;659;768;865
08160;Vendresse;150;297;312;322;337;594;683;793;892
08240;Verpel;115;225;240;250;265;449;517;619;704
08390;Verrières;125;245;260;270;285;491;564;669;758
08270;Viel-Saint-Remy;130;256;271;281;296;511;588;694;785
08190;Vieux-lès-Asfeld;110;214;229;239;254;429;493;595;677
08440;Ville-sur-Lumes;155;307;322;332;347;614;707;817;919
08310;Ville-sur-Retourne;100;194;209;219;234;388;446;545;624
08140;Villers-Cernay;175;348;363;373;388;697;801;916;1026
08190;Villers-devant-le-Thour;115;225;240;250;265;449;517;619;704
08210;Villers-devant-Mouzon;175;348;363;373;388;697;801;916;1026
08430;Villers-le-Tilleul;145;287;302;312;327;573;659;768;865
08430;Villers-le-Tourneur;130;256;271;281;296;511;588;694;785
08000;Villers-Semeuse;150;297;312;322;337;594;683;793;892
08350;Villers-sur-Bar;170;338;353;363;378;676;778;892;999
08430;Villers-sur-le-Mont;140;276;291;301;316;553;635;743;838
08370;Villy;190;379;394;404;419;759;873;991;1106
08320;Vireux-Molhain;190;379;394;404;419;759;873;991;1106
08320;Vireux-Wallerand;195;390;405;415;430;779;896;1015;1133
08440;Vivier-au-Court;160;318;333;343;358;635;730;842;946
08400;Voncq;115;225;240;250;265;449;517;619;704
08400;Vouziers;105;204;219;229;244;408;469;570;651
08330;Vrigne-aux-Bois;160;318;333;343;358;635;730;842;946
08350;Vrigne-Meuse;160;318;333;343;358;635;730;842;946
08400;Vrizy;105;204;219;229;244;408;469;570;651
08200;Wadelincourt;165;328;343;353;368;656;754;867;972
08270;Wagnon;125;245;260;270;285;491;564;669;758
08000;Warcq;155;307;322;332;347;614;707;817;919
08090;Warnécourt;155;307;322;332;347;614;707;817;919
08270;Wasigny;125;245;260;270;285;491;564;669;758
08270;Wignicourt;135;266;281;291;306;532;612;718;811
08110;Williers;195;390;405;415;430;779;896;1015;1133
08210;Yoncq;145;287;302;312;327;573;659;768;865
08430;Yvernaumont;140;276;291;301;316;553;635;743;838
08300;Ecly;115;225;240;250;265;449;517;619;704
08130;Ecordal;125;245;260;270;285;491;564;669;758
08160;Elan;150;297;312;322;337;594;683;793;892
08260;Etalle;155;307;322;332;347;614;707;817;919
08260;Eteignières;160;318;333;343;358;635;730;842;946
08160;Etrépigny;150;297;312;322;337;594;683;793;892
08090;Evigny;150;297;312;322;337;594;683;793;892
10200;Ailleville;105;204;219;229;244;408;469;570;651
10160;Aix-en-Othe;95;183;198;208;223;367;422;520;597
10700;Allibaudières;30;50;65;75;90;100;115;200;250
10140;Amance;95;183;198;208;223;367;422;520;597
